                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0846,                 2.3585,                  2.614,                0.00028,                0.01031,                0.00014,                 0.0001,                 7.0102,                 1191.4,                 14.611,                0.07027,              0.0033033,              0.0033033
                      2,                 3.2028,                 2.4112,                 2.6593,                0.20295,                0.56701,                0.30731,                0.13942,                 4.4792,                 6.8931,                 3.9282,               0.040139,              0.0065052,              0.0065052
                      3,                 3.1237,                 2.3416,                 2.6494,                0.49481,                0.68664,                0.61159,                0.30012,                 3.5323,                 6.4623,                 3.4986,              0.0098755,              0.0095752,              0.0095752
                      4,                 3.0667,                 2.1404,                 2.6123,                0.62185,                0.71204,                0.68148,                0.38675,                 2.7756,                 4.8647,                 2.7619,               0.009406,               0.009406,               0.009406
                      5,                 3.0037,                 1.9778,                 2.5644,                0.85199,                0.74227,                0.84121,                0.50628,                  2.877,                 1.9061,                 2.8004,               0.009208,               0.009208,               0.009208
                      6,                 2.9968,                 1.9013,                 2.5064,                0.82591,                0.83505,                0.89217,                0.51869,                 2.8265,                 1.8717,                 2.7415,                0.00901,                0.00901,                0.00901
                      7,                 2.9206,                 1.8279,                 2.4678,                 0.7304,                0.80412,                0.77494,                0.44096,                 2.5858,                 2.7679,                 2.5788,               0.008812,               0.008812,               0.008812
                      8,                 2.8599,                 1.6796,                 2.4462,                0.84996,                0.81443,                0.90856,                0.52282,                 2.7467,                 1.4534,                 2.6216,               0.008614,               0.008614,               0.008614
                      9,                 2.8431,                 1.6948,                 2.4482,                0.73944,                0.79381,                0.83688,                0.51205,                 2.4993,                 1.5888,                 2.4646,               0.008416,               0.008416,               0.008416
                     10,                 2.8787,                 1.6056,                 2.4322,                0.87307,                0.92187,                0.94706,                0.59676,                 2.7529,                 1.5728,                 2.6491,               0.008218,               0.008218,               0.008218
                     11,                  2.761,                 1.5608,                 2.3818,                0.88032,                0.83416,                0.92827,                0.59276,                 2.4348,                 1.5774,                 2.4649,                0.00802,                0.00802,                0.00802
                     12,                 2.7087,                   1.48,                 2.3748,                0.83776,                0.95876,                0.94215,                0.55477,                 2.6781,                 1.1968,                 2.5455,               0.007822,               0.007822,               0.007822
                     13,                 2.7206,                 1.4823,                 2.3392,                0.05911,                0.90722,                0.05876,                0.03599,                 2.4892,                 63.516,                 2.4383,               0.007624,               0.007624,               0.007624
                     14,                 2.7036,                  1.422,                 2.3354,                0.86248,                0.93814,                0.95698,                0.62508,                 2.4194,                 1.3163,                 2.4154,               0.007426,               0.007426,               0.007426
                     15,                 2.7172,                 1.4226,                 2.3244,                0.95631,                0.90722,                0.96006,                0.57065,                 2.5428,                 1.0879,                  2.482,               0.007228,               0.007228,               0.007228
                     16,                 2.6273,                 1.3496,                 2.3122,                0.94298,                0.90722,                0.97136,                0.64772,                 2.3036,                0.94365,                 2.3778,                0.00703,                0.00703,                0.00703
                     17,                 2.5667,                 1.2842,                 2.2741,                0.90199,                0.95876,                0.96719,                0.63931,                  2.387,                0.97357,                 2.3853,               0.006832,               0.006832,               0.006832
