                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2031,                  4.044,                 1.1865,                0.00333,                      1,                0.01449,                0.00688,                 1.6923,                  4.295,                 1.2304,                 0.0973,                 0.0003,                 0.0003
                      2,                 1.2571,                 2.5051,                 1.1936,                0.00333,                      1,                0.50792,                 0.2524,                 1.9547,                 3.8201,                 1.3706,               0.093654,              0.0006538,              0.0006538
                      3,                 1.3315,                 1.6437,                 1.2079,                0.00333,                      1,                0.50792,                 0.2524,                 1.7429,                 4.0521,                 1.3362,               0.089955,              0.0009548,              0.0009548
                      4,                 1.3105,                  1.265,                 1.2471,                0.00333,                      1,                0.50792,                 0.2524,                 2.1774,                 4.5381,                 1.4134,               0.086203,               0.001203,               0.001203
                      5,                 1.4072,                 1.1559,                 1.2395,                0.00333,                      1,                0.50792,                 0.2524,                 1.3889,                 4.8294,                 1.3084,               0.082398,              0.0013984,              0.0013984
                      6,                 1.1663,                0.97597,                 1.3199,                0.00333,                      1,                0.50792,                 0.2524,                 1.3928,                 4.8081,                 1.5391,               0.078541,               0.001541,               0.001541
                      7,                 1.1142,                0.98721,                  1.185,                0.00333,                      1,                0.50792,                 0.2524,                0.95122,                 4.1896,                 1.1917,               0.074631,              0.0016308,              0.0016308
                      8,                 1.0421,                 0.8632,                 1.1789,                0.21429,                      1,                0.27136,                0.21991,                 1.1195,                 3.7352,                 1.4296,               0.070668,              0.0016678,              0.0016678
                      9,                 1.2146,                0.84116,                 1.2492,                0.17647,                      1,                   0.83,                0.54643,                 1.2426,                 3.1958,                 1.8563,               0.066652,               0.001652,               0.001652
                     10,                 1.0588,                0.85799,                 1.1775,                0.07895,                      1,                0.11056,                 0.0795,                  1.172,                 3.7107,                  1.589,               0.062583,              0.0015834,              0.0015834
                     11,                 1.0111,                0.72737,                  1.199,                0.07317,                      1,                  0.995,                0.69944,                 1.0885,                 2.3249,                 1.7748,               0.058462,               0.001462,               0.001462
                     12,                 1.0085,                0.89132,                 1.2229,                      1,                0.61659,                  0.995,                0.70176,                 1.2454,                 2.5797,                 1.8887,               0.054288,              0.0012878,              0.0012878
                     13,                 1.0218,                0.78538,                 1.2154,                      1,                0.64699,                  0.995,                0.65375,                  1.398,                 2.0487,                 1.9159,               0.050061,              0.0010608,              0.0010608
                     14,                0.94152,                0.71932,                 1.1227,                      1,                 0.6615,                  0.863,                0.56516,                 1.3523,                 1.9296,                 1.8339,               0.045781,               0.000781,               0.000781
                     15,                0.91236,                0.70673,                 1.0765,                      1,                0.65978,                  0.995,                0.65305,                 1.3157,                 1.8813,                 1.7314,               0.041448,              0.0004484,              0.0004484
